"Time","Food delivery","Uber Eats","DoorDash","Grubhub"
"2014-01-01",13,0,0,9
"2014-02-01",14,0,0,9
"2014-03-01",13,0,0,10
"2014-04-01",12,0,0,10
"2014-05-01",12,0,0,8
"2014-06-01",12,0,0,7
"2014-07-01",12,0,0,7
"2014-08-01",13,0,0,7
"2014-09-01",12,0,0,9
"2014-10-01",12,0,0,9
"2014-11-01",13,0,0,9
"2014-12-01",15,0,0,9
"2015-01-01",14,0,0,10
"2015-02-01",14,0,1,11
"2015-03-01",14,0,1,10
"2015-04-01",14,0,1,10
"2015-05-01",14,0,1,9
"2015-06-01",15,0,1,9
"2015-07-01",16,1,2,8
"2015-08-01",16,1,2,9
"2015-09-01",15,1,2,9
"2015-10-01",16,1,2,10
"2015-11-01",16,1,2,10
"2015-12-01",18,1,2,9
"2016-01-01",17,1,2,9
"2016-02-01",17,1,2,9
"2016-03-01",16,2,2,9
"2016-04-01",17,2,2,9
"2016-05-01",18,2,2,8
"2016-06-01",18,4,3,8
"2016-07-01",19,6,3,9
"2016-08-01",18,6,3,8
"2016-09-01",19,8,3,9
"2016-10-01",19,12,4,10
"2016-11-01",7,13,4,15
"2016-12-01",7,15,4,11
"2017-01-01",6,16,4,11
"2017-02-01",6,17,4,12
"2017-03-01",6,19,4,13
"2017-04-01",6,19,5,12
"2017-05-01",6,20,6,12
"2017-06-01",7,24,5,11
"2017-07-01",7,29,5,11
"2017-08-01",7,26,5,12
"2017-09-01",7,28,6,11
"2017-10-01",7,29,6,12
"2017-11-01",8,26,5,8
"2017-12-01",9,36,7,12
"2018-01-01",9,33,7,12
"2018-02-01",8,37,9,14
"2018-03-01",7,36,10,12
"2018-04-01",7,34,11,13
"2018-05-01",10,35,12,14
"2018-06-01",10,38,13,14
"2018-07-01",11,46,13,14
"2018-08-01",11,49,15,14
"2018-09-01",10,48,16,15
"2018-10-01",9,50,17,18
"2018-11-01",9,52,19,19
"2018-12-01",22,50,21,19
"2019-01-01",31,41,25,20
"2019-02-01",34,54,29,24
"2019-03-01",36,57,32,21
"2019-04-01",32,55,29,18
"2019-05-01",31,57,30,18
"2019-06-01",29,70,32,17
"2019-07-01",30,58,28,15
"2019-08-01",31,59,29,16
"2019-09-01",30,60,31,15
"2019-10-01",29,64,33,17
"2019-11-01",29,70,32,18
"2019-12-01",35,68,29,18
"2020-01-01",31,63,31,17
"2020-02-01",34,60,31,18
"2020-03-01",43,70,38,23
"2020-04-01",49,88,57,29
"2020-05-01",40,100,49,28
"2020-06-01",33,76,43,22
"2020-07-01",35,74,47,21
"2020-08-01",33,69,49,20
"2020-09-01",28,71,47,18
"2020-10-01",27,76,45,16
"2020-11-01",27,77,46,15
"2020-12-01",30,73,59,18
"2021-01-01",31,78,58,21
"2021-02-01",41,78,55,20
"2021-03-01",42,75,52,19
"2021-04-01",42,70,52,17
"2021-05-01",49,74,50,16
"2021-06-01",50,66,50,14
"2021-07-01",45,62,48,13
"2021-08-01",43,60,49,15
"2021-09-01",46,58,46,14
"2021-10-01",43,58,45,14
"2021-11-01",41,56,46,13
"2021-12-01",49,60,54,16
"2022-01-01",46,62,58,15
"2022-02-01",44,61,52,14
"2022-03-01",39,55,48,13
"2022-04-01",39,57,49,13
"2022-05-01",39,53,48,13
"2022-06-01",37,51,48,11
"2022-07-01",41,52,51,17
"2022-08-01",39,46,45,12
"2022-09-01",36,46,44,12
"2022-10-01",34,47,44,11
"2022-11-01",34,44,43,10
"2022-12-01",39,48,46,11
"2023-01-01",40,46,48,11
"2023-02-01",41,47,50,11
"2023-03-01",37,45,49,10
"2023-04-01",36,45,45,10
"2023-05-01",35,44,43,9
"2023-06-01",36,43,46,10
"2023-07-01",40,52,45,10
"2023-08-01",35,48,42,9
"2023-09-01",32,49,42,9
"2023-10-01",32,49,43,9
"2023-11-01",33,50,43,8
"2023-12-01",35,51,44,9
"2024-01-01",33,49,46,8
"2024-02-01",31,51,56,8
"2024-03-01",28,51,51,9
"2024-04-01",30,48,48,8
"2024-05-01",27,49,45,8
"2024-06-01",29,49,46,9
"2024-07-01",28,50,47,8
"2024-08-01",32,47,48,8
"2024-09-01",29,48,46,8
"2024-10-01",29,48,46,8
"2024-11-01",30,49,47,7
"2024-12-01",35,53,53,8
"2025-01-01",32,53,57,8
"2025-02-01",33,54,57,8
"2025-03-01",31,51,55,7
"2025-04-01",31,47,51,7
"2025-05-01",29,49,55,7
"2025-06-01",30,49,54,7
"2025-07-01",35,54,62,8
"2025-08-01",42,57,64,9
"2025-09-01",39,53,62,9
"2025-10-01",39,56,66,10
"2025-11-01",37,54,67,8
"2025-12-01",40,55,69,8